video_name,timestamp_seconds,timestamp_hhmmss,real_timestamp_hhmmss,frame_number,person_count,bicycle_count,car_count,motorcycle_count,bus_count,truck_count,traffic_light_count,total_vehicle_count,total_road_user_count
Whole Day 2 - Mon 27th Apr.mov,0,0:00:00,13:30:00,0,0,0,1,0,0,0,0,1,1
Whole Day 2 - Mon 27th Apr.mov,10,0:00:10,13:30:10,299,1,0,2,0,0,0,0,2,3
Whole Day 2 - Mon 27th Apr.mov,20,0:00:20,13:30:20,599,1,0,4,0,1,0,0,5,6
Whole Day 2 - Mon 27th Apr.mov,30,0:00:30,13:30:30,898,3,0,3,0,1,0,0,4,7
Whole Day 2 - Mon 27th Apr.mov,40,0:00:40,13:30:40,1198,1,0,2,0,1,0,0,3,4
Whole Day 2 - Mon 27th Apr.mov,50,0:00:50,13:30:50,1498,3,0,4,0,0,0,0,4,7
Whole Day 2 - Mon 27th Apr.mov,60,0:01:00,13:31:00,1797,2,0,7,0,0,0,0,7,9
Whole Day 2 - Mon 27th Apr.mov,70,0:01:10,13:31:10,2097,1,0,7,0,1,0,0,8,9
Whole Day 2 - Mon 27th Apr.mov,80,0:01:20,13:31:20,2396,1,0,5,0,0,0,0,5,6
Whole Day 2 - Mon 27th Apr.mov,90,0:01:30,13:31:30,2696,2,0,3,0,0,0,0,3,5
Whole Day 2 - Mon 27th Apr.mov,100,0:01:40,13:31:40,2996,0,0,3,0,0,0,0,3,3
Whole Day 2 - Mon 27th Apr.mov,110,0:01:50,13:31:50,3295,0,0,4,0,0,0,0,4,4
Whole Day 2 - Mon 27th Apr.mov,120,0:02:00,13:32:00,3595,1,0,7,0,0,0,0,7,8
Whole Day 2 - Mon 27th Apr.mov,130,0:02:10,13:32:10,3894,0,0,0,0,0,0,0,0,0
Whole Day 2 - Mon 27th Apr.mov,140,0:02:20,13:32:20,4194,0,0,2,0,0,0,0,2,2
Whole Day 2 - Mon 27th Apr.mov,150,0:02:30,13:32:30,4494,1,0,1,0,0,0,0,1,2
