video_name,timestamp_seconds,timestamp_hhmmss,frame_number,person_count,bicycle_count,car_count,motorcycle_count,bus_count,truck_count,traffic_light_count,total_vehicle_count,total_road_user_count
Whole Day 3 - Tues 28th Apr.mov,0,00:00:00,0,0,0,11,0,0,0,0,11,11
Whole Day 3 - Tues 28th Apr.mov,10,00:00:10,299,0,0,8,0,0,1,2,9,9
Whole Day 3 - Tues 28th Apr.mov,20,00:00:20,599,1,0,4,0,0,0,2,4,5
Whole Day 3 - Tues 28th Apr.mov,30,00:00:30,899,2,0,2,0,0,0,2,2,4
Whole Day 3 - Tues 28th Apr.mov,40,00:00:40,1199,1,0,1,0,0,0,2,1,2
Whole Day 3 - Tues 28th Apr.mov,50,00:00:50,1499,0,0,4,0,0,0,2,4,4
Whole Day 3 - Tues 28th Apr.mov,60,00:01:00,1798,1,0,5,1,0,0,2,6,7
Whole Day 3 - Tues 28th Apr.mov,70,00:01:10,2098,0,0,4,0,0,0,2,4,4
Whole Day 3 - Tues 28th Apr.mov,80,00:01:20,2398,0,0,8,0,0,0,2,8,8
Whole Day 3 - Tues 28th Apr.mov,90,00:01:30,2698,1,0,5,0,2,0,1,7,8
Whole Day 3 - Tues 28th Apr.mov,100,00:01:40,2998,1,0,6,0,0,0,2,6,7
Whole Day 3 - Tues 28th Apr.mov,110,00:01:50,3297,0,0,3,0,0,0,2,3,3
Whole Day 3 - Tues 28th Apr.mov,120,00:02:00,3597,0,0,2,0,0,1,0,3,3
Whole Day 3 - Tues 28th Apr.mov,130,00:02:10,3897,1,0,2,0,0,0,2,2,3
Whole Day 3 - Tues 28th Apr.mov,140,00:02:20,4197,0,0,4,0,0,0,2,4,4
Whole Day 3 - Tues 28th Apr.mov,150,00:02:30,4497,1,0,5,0,0,0,2,5,6
Whole Day 3 - Tues 28th Apr.mov,160,00:02:40,4796,1,0,5,0,0,0,2,5,6
Whole Day 3 - Tues 28th Apr.mov,170,00:02:50,5096,1,0,3,0,0,0,2,3,4
Whole Day 3 - Tues 28th Apr.mov,180,00:03:00,5396,0,0,8,0,0,0,2,8,8
Whole Day 3 - Tues 28th Apr.mov,190,00:03:10,5696,0,0,5,0,0,0,2,5,5
Whole Day 3 - Tues 28th Apr.mov,200,00:03:20,5996,0,0,2,0,0,0,2,2,2
Whole Day 3 - Tues 28th Apr.mov,210,00:03:30,6295,0,0,3,0,0,0,2,3,3
Whole Day 3 - Tues 28th Apr.mov,220,00:03:40,6595,0,0,3,0,0,0,2,3,3
Whole Day 3 - Tues 28th Apr.mov,230,00:03:50,6895,0,0,4,0,0,0,2,4,4
Whole Day 3 - Tues 28th Apr.mov,240,00:04:00,7195,0,0,6,0,0,0,2,6,6
Whole Day 3 - Tues 28th Apr.mov,250,00:04:10,7495,0,0,6,0,0,0,2,6,6
Whole Day 3 - Tues 28th Apr.mov,260,00:04:20,7794,1,0,6,0,0,0,2,6,7
Whole Day 3 - Tues 28th Apr.mov,270,00:04:30,8094,0,0,8,0,0,0,2,8,8
Whole Day 3 - Tues 28th Apr.mov,280,00:04:40,8394,0,0,7,0,0,0,1,7,7
Whole Day 3 - Tues 28th Apr.mov,290,00:04:50,8694,1,0,7,0,0,0,2,7,8
Whole Day 3 - Tues 28th Apr.mov,300,00:05:00,8994,0,0,7,0,0,0,2,7,7
Whole Day 3 - Tues 28th Apr.mov,310,00:05:10,9293,0,0,9,0,0,0,2,9,9
Whole Day 3 - Tues 28th Apr.mov,320,00:05:20,9593,0,0,10,0,0,0,2,10,10
Whole Day 3 - Tues 28th Apr.mov,330,00:05:30,9893,0,0,2,0,0,0,2,2,2
Whole Day 3 - Tues 28th Apr.mov,340,00:05:40,10193,0,0,4,0,0,0,2,4,4
Whole Day 3 - Tues 28th Apr.mov,350,00:05:50,10493,2,0,8,2,0,0,2,10,12
Whole Day 3 - Tues 28th Apr.mov,360,00:06:00,10792,0,0,11,0,0,1,2,12,12
Whole Day 3 - Tues 28th Apr.mov,370,00:06:10,11092,0,0,10,0,0,0,2,10,10
Whole Day 3 - Tues 28th Apr.mov,380,00:06:20,11392,0,0,11,0,0,0,2,11,11
Whole Day 3 - Tues 28th Apr.mov,390,00:06:30,11692,0,0,13,0,0,0,2,13,13
Whole Day 3 - Tues 28th Apr.mov,400,00:06:40,11992,0,0,3,0,0,0,2,3,3
Whole Day 3 - Tues 28th Apr.mov,410,00:06:50,12291,0,0,3,0,0,1,1,4,4
Whole Day 3 - Tues 28th Apr.mov,420,00:07:00,12591,0,0,4,0,0,0,2,4,4
Whole Day 3 - Tues 28th Apr.mov,430,00:07:10,12891,0,0,3,0,1,0,2,4,4
Whole Day 3 - Tues 28th Apr.mov,440,00:07:20,13191,1,0,2,0,2,0,2,4,5
Whole Day 3 - Tues 28th Apr.mov,450,00:07:30,13491,0,0,3,0,1,0,2,4,4
