Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation,Step,ElapsedMinutes,ElapsedHours,TotalCount,TotalMismatch,Hour,Minute,QuarterHour,DayOfWeekNum,IsWeekend,Hour_sin,Hour_cos,Day_sin,Day_cos,Total_lag_1,Total_lag_2,Total_lag_3,Total_lag_4,Car_lag_1,Bike_lag_1,Bus_lag_1,Truck_lag_1,Total_roll_mean_3,Total_roll_mean_4,Total_roll_std_4,Total_change_1,Total_pct_change_1,CongestionScore,CongestionScore_norm,TrafficSituationEncoded,Target_Next_Total
1:00:00 AM,10,Tuesday,11,2,1,34,48,normal,4,60,1.0,48,0,1,0,0,1,0,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,50.0,46.0,52.0,41.0,10.0,2.0,2.0,36.0,48.0,49.0,2.5819888974716103,-2.0,-0.040000000000000036,48,0.10465116279069768,1.0,56.0
1:15:00 AM,10,Tuesday,15,1,1,39,56,normal,5,75,1.25,56,0,1,15,1,1,0,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,48.0,50.0,46.0,52.0,11.0,2.0,1.0,34.0,51.333333333333336,50.0,4.320493798938573,8.0,0.16666666666666674,56,0.13565891472868216,1.0,45.0
1:30:00 AM,10,Tuesday,14,2,2,27,45,normal,6,90,1.5,45,0,1,30,2,1,0,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,56.0,48.0,50.0,46.0,15.0,1.0,1.0,39.0,49.666666666666664,49.75,4.645786621588784,-11.0,-0.1964285714285714,45,0.09302325581395349,1.0,36.0
1:45:00 AM,10,Tuesday,13,2,1,20,36,normal,7,105,1.75,36,0,1,45,3,1,0,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,45.0,56.0,48.0,50.0,14.0,2.0,2.0,27.0,45.666666666666664,46.25,8.261355820929152,-9.0,-0.19999999999999996,36,0.05813953488372093,1.0,33.0
2:00:00 AM,10,Tuesday,7,0,0,26,33,normal,8,120,2.0,33,0,2,0,0,1,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,36.0,45.0,56.0,48.0,13.0,2.0,1.0,20.0,38.0,42.5,10.3440804327886,-3.0,-0.08333333333333337,33,0.046511627906976744,1.0,47.0
2:15:00 AM,10,Tuesday,13,0,0,34,47,normal,9,135,2.25,47,0,2,15,1,1,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,33.0,36.0,45.0,56.0,7.0,0.0,0.0,26.0,38.666666666666664,40.25,6.80073525436772,14.0,0.4242424242424243,47,0.10077519379844961,1.0,55.0
2:30:00 AM,10,Tuesday,15,2,0,38,55,normal,10,150,2.5,55,0,2,30,2,1,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,47.0,33.0,36.0,45.0,13.0,0.0,0.0,34.0,45.0,42.75,10.144785195688799,8.0,0.17021276595744683,55,0.13178294573643412,1.0,44.0
2:45:00 AM,10,Tuesday,5,2,0,37,44,normal,11,165,2.75,44,0,2,45,3,1,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,55.0,47.0,33.0,36.0,15.0,2.0,0.0,38.0,48.666666666666664,44.75,9.105858919765156,-11.0,-0.19999999999999996,44,0.08914728682170543,1.0,44.0
3:00:00 AM,10,Tuesday,9,1,0,34,44,normal,12,180,3.0,44,0,3,0,0,1,0,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,44.0,55.0,47.0,33.0,5.0,2.0,0.0,37.0,47.666666666666664,47.5,5.196152422706631,0.0,0.0,44,0.08914728682170543,1.0,45.0
3:15:00 AM,10,Tuesday,8,0,2,35,45,normal,13,195,3.25,45,0,3,15,1,1,0,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,44.0,44.0,55.0,47.0,9.0,1.0,0.0,34.0,44.333333333333336,47.0,5.354126134736336,1.0,0.022727272727272707,45,0.09302325581395349,1.0,41.0
