,Importance
TotalCount,0.5560014061285558
Hour_cos,0.16350959767178036
CarCount,0.06033754809734812
Total_roll_mean_3,0.04166842741052065
Hour,0.01733763596282252
BusCount,0.01618135845534518
Hour_sin,0.012821705690590246
TruckCount,0.011979807724562957
Total_roll_mean_4,0.011384937668612366
Total_lag_4,0.010422517182231441
Car_lag_1,0.010415163787724627
Total_roll_std_4,0.00891677978992928
Bike_lag_1,0.008893480629592505
Truck_lag_1,0.008760166189225888
BikeCount,0.008631425872567227
Total_lag_3,0.006935230457015115
QuarterHour,0.006750694696744735
Minute,0.006440780054535486
Total_lag_2,0.006436589241094626
Bus_lag_1,0.006273777673344292
Total_lag_1,0.005670025948524111
Total_pct_change_1,0.003935966812162013
Total_change_1,0.0030342178481504735
Day_cos,0.002576059907189843
Day_sin,0.0024336433286268637
DayOfWeekNum,0.0020240063150885296
IsWeekend,0.00022704945611470674
