Actual_Next_Total,Predicted_Next_Total,Hour,Minute,DayOfWeekNum,IsWeekend,IntervalIndex,FixedCycle_GivesGreen,Adaptive_GivesGreen,Actual_LowDemand,Actual_HighDemand,FixedCycle_WastedGreen,Adaptive_WastedGreen,FixedCycle_MissedHighDemand,Adaptive_MissedHighDemand,FixedCycle_Outcome,Adaptive_Outcome
95.0,107.42259568927871,13,0,5,1,0,1,1,0,0,0,0,0,0,Useful green / acceptable,Useful green / acceptable
115.0,101.05110919219092,13,15,5,1,1,0,1,0,0,0,0,0,0,Acceptable red / low-medium demand,Useful green / acceptable
176.0,104.83021160378321,13,30,5,1,2,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
89.0,139.19505673704757,13,45,5,1,3,0,1,1,0,0,1,0,0,Acceptable red / low-medium demand,Wasted green
109.0,122.42723730554422,14,0,5,1,4,1,1,0,0,0,0,0,0,Useful green / acceptable,Useful green / acceptable
106.0,108.58900628996928,14,15,5,1,5,0,1,0,0,0,0,0,0,Acceptable red / low-medium demand,Useful green / acceptable
128.0,93.93797174221982,14,30,5,1,6,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
111.0,107.69905660996926,14,45,5,1,7,0,1,0,0,0,0,0,0,Acceptable red / low-medium demand,Useful green / acceptable
147.0,117.99115028356734,15,0,5,1,8,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
113.0,125.3314808894308,15,30,5,1,9,0,1,0,0,0,0,0,0,Acceptable red / low-medium demand,Useful green / acceptable
195.0,120.66678415026028,15,45,5,1,10,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
220.0,189.59369788553744,16,0,5,1,11,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
199.0,185.834192604129,16,15,5,1,12,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
155.0,183.3355389631774,16,30,5,1,13,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
165.0,177.05389724586064,16,45,5,1,14,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
170.0,183.20621593448016,17,0,5,1,15,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
177.0,189.55311843402575,17,15,5,1,16,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
197.0,179.1390211852757,17,30,5,1,17,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
214.0,192.72399422908413,17,45,5,1,18,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
167.0,177.69553643995656,18,0,5,1,19,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
181.0,160.94877875554255,18,15,5,1,20,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
94.0,144.49277047215378,18,30,5,1,21,0,1,0,0,0,0,0,0,Acceptable red / low-medium demand,Useful green / acceptable
155.0,135.2071475668071,18,45,5,1,22,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
146.0,122.4454570882306,19,0,5,1,23,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
161.0,126.29631264049326,19,15,5,1,24,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
124.0,131.19051845563092,19,30,5,1,25,0,1,0,0,0,0,0,0,Acceptable red / low-medium demand,Useful green / acceptable
129.0,128.2271321689526,20,15,5,1,26,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
150.0,128.190493768874,20,45,5,1,27,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
132.0,126.90951116752134,21,0,5,1,28,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
115.0,122.12962690488452,21,15,5,1,29,0,1,0,0,0,0,0,0,Acceptable red / low-medium demand,Useful green / acceptable
138.0,112.44487231807801,21,30,5,1,30,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
52.0,43.83221020950541,22,0,5,1,31,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
37.0,43.44232902880654,22,15,5,1,32,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
46.0,42.47455743748781,22,30,5,1,33,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
30.0,42.936725177976406,22,45,5,1,34,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
28.0,44.009658780127005,23,0,5,1,35,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
63.0,41.08719483450691,23,15,5,1,36,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
37.0,46.07810147990939,23,30,5,1,37,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
51.0,43.698520304514076,23,45,5,1,38,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
43.0,44.10843491808227,0,0,6,1,39,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
54.0,41.19943021893767,0,15,6,1,40,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
51.0,43.430040072743225,0,30,6,1,41,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
36.0,42.70336912933677,0,45,6,1,42,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
43.0,43.87130169301785,1,0,6,1,43,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
44.0,38.718337877177845,1,15,6,1,44,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
47.0,42.98773892867539,1,30,6,1,45,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
54.0,42.00308544326511,1,45,6,1,46,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
