Day of the week,TimeSlot,TotalCount
Friday,0,46.375
Friday,1,41.25
Friday,2,42.375
Friday,3,36.625
Friday,4,39.875
Friday,5,49.625
Friday,6,45.25
Friday,7,40.625
Friday,8,46.75
Friday,9,39.0
Friday,10,37.625
Friday,11,45.25
Friday,12,41.625
Friday,13,40.875
Friday,14,47.25
Friday,15,40.375
Friday,16,61.714285714285715
Friday,17,63.666666666666664
Friday,18,72.16666666666667
Friday,19,97.0
Friday,20,95.2
Friday,21,91.125
Friday,22,91.0
Friday,23,95.0
Friday,24,93.66666666666667
Friday,25,72.8
Friday,26,72.14285714285714
Friday,27,91.0
Friday,28,78.83333333333333
Friday,29,77.0
Friday,30,87.375
Friday,31,87.2
Friday,32,87.0
Friday,33,78.0
Friday,34,83.2
Friday,35,93.57142857142857
Friday,36,129.5
Friday,37,201.625
Friday,38,214.125
Friday,39,211.375
Friday,40,199.375
Friday,41,209.75
Friday,42,212.5
Friday,43,209.375
Friday,44,209.125
Friday,45,206.75
Friday,46,203.125
Friday,47,206.25
Friday,48,207.0
Friday,49,203.875
Friday,50,212.0
Friday,51,204.75
Friday,52,199.875
Friday,53,197.5
Friday,54,205.5
Friday,55,211.375
Friday,56,200.0
Friday,57,214.875
Friday,58,207.25
Friday,59,203.25
Friday,60,169.25
Friday,61,103.875
Friday,62,104.25
Friday,63,96.625
Friday,64,107.75
Friday,65,96.25
Friday,66,106.0
Friday,67,99.5
Friday,68,104.875
Friday,69,98.625
Friday,70,108.875
Friday,71,104.5
Friday,72,101.875
Friday,73,92.875
Friday,74,111.125
Friday,75,102.75
Friday,76,89.75
Friday,77,64.125
Friday,78,60.125
Friday,79,62.875
Friday,80,66.5
Friday,81,60.625
Friday,82,57.0
Friday,83,66.375
Friday,84,60.75
Friday,85,66.875
Friday,86,57.0
Friday,87,41.625
Friday,88,41.75
Friday,89,43.0
Friday,90,41.25
Friday,91,41.125
Friday,92,44.875
Friday,93,42.25
Friday,94,42.625
Friday,95,44.25
Monday,0,43.375
Monday,1,41.375
Monday,2,42.125
Monday,3,41.875
Monday,4,42.375
Monday,5,45.75
Monday,6,40.75
Monday,7,43.375
Monday,8,40.875
Monday,9,41.125
Monday,10,47.875
Monday,11,40.375
Monday,12,44.25
Monday,13,39.875
Monday,14,40.0
Monday,15,43.875
Monday,16,74.75
Monday,17,103.75
Monday,18,103.25
Monday,19,109.125
Monday,20,112.875
Monday,21,106.5
Monday,22,103.625
Monday,23,134.375
Monday,24,175.625
Monday,25,177.5
Monday,26,164.375
Monday,27,168.125
Monday,28,168.57142857142858
Monday,29,190.125
Monday,30,163.57142857142858
Monday,31,175.25
Monday,32,179.75
Monday,33,177.71428571428572
Monday,34,182.875
Monday,35,169.625
Monday,36,136.875
Monday,37,118.33333333333333
Monday,38,98.85714285714286
Monday,39,100.0
Monday,40,91.5
Monday,41,116.85714285714286
Monday,42,95.42857142857143
Monday,43,81.57142857142857
Monday,44,85.71428571428571
Monday,45,81.75
Monday,46,84.125
Monday,47,77.75
Monday,48,95.14285714285714
Monday,49,88.75
Monday,50,82.125
Monday,51,72.42857142857143
Monday,52,98.625
Monday,53,108.14285714285714
Monday,54,92.625
Monday,55,105.0
Monday,56,91.0
Monday,57,81.42857142857143
Monday,58,110.42857142857143
Monday,59,93.16666666666667
Monday,60,108.0
Monday,61,95.71428571428571
Monday,62,85.875
Monday,63,150.375
Monday,64,189.0
Monday,65,191.28571428571428
Monday,66,186.0
Monday,67,192.5
Monday,68,182.75
Monday,69,188.75
Monday,70,183.625
Monday,71,193.625
Monday,72,186.57142857142858
Monday,73,192.125
Monday,74,158.375
Monday,75,127.57142857142857
Monday,76,136.25
Monday,77,111.85714285714286
Monday,78,131.375
Monday,79,117.83333333333333
Monday,80,117.66666666666667
Monday,81,127.28571428571429
Monday,82,128.16666666666666
Monday,83,133.14285714285714
Monday,84,116.0
Monday,85,124.83333333333333
Monday,86,134.42857142857142
Monday,87,68.83333333333333
Monday,88,46.0
Monday,89,40.875
Monday,90,38.875
Monday,91,39.375
Monday,92,44.875
Monday,93,39.875
Monday,94,47.25
Monday,95,40.5
Saturday,0,45.5
Saturday,1,39.375
Saturday,2,40.625
Saturday,3,43.125
Saturday,4,39.0
Saturday,5,42.375
Saturday,6,39.875
Saturday,7,45.0
Saturday,8,37.5
Saturday,9,44.75
Saturday,10,41.5
Saturday,11,41.75
Saturday,12,43.375
Saturday,13,39.75
Saturday,14,43.5
Saturday,15,46.5
Saturday,16,62.625
Saturday,17,107.25
Saturday,18,118.375
Saturday,19,122.5
Saturday,20,116.0
Saturday,21,116.125
Saturday,22,112.5
Saturday,23,149.25
Saturday,24,164.625
Saturday,25,177.375
Saturday,26,174.125
Saturday,27,166.0
Saturday,28,183.57142857142858
Saturday,29,181.375
Saturday,30,171.75
Saturday,31,182.5
Saturday,32,185.625
Saturday,33,173.14285714285714
Saturday,34,181.71428571428572
Saturday,35,183.71428571428572
Saturday,36,136.5
Saturday,37,89.0
Saturday,38,96.28571428571429
Saturday,39,77.16666666666667
Saturday,40,96.33333333333333
Saturday,41,92.0
Saturday,42,103.71428571428571
Saturday,43,82.57142857142857
Saturday,44,81.75
Saturday,45,90.5
Saturday,46,89.25
Saturday,47,84.5
Saturday,48,86.42857142857143
Saturday,49,93.25
Saturday,50,86.0
Saturday,51,77.5
Saturday,52,102.125
Saturday,53,92.16666666666667
Saturday,54,122.125
Saturday,55,127.0
Saturday,56,105.875
Saturday,57,94.875
Saturday,58,105.14285714285714
Saturday,59,106.75
Saturday,60,89.42857142857143
Saturday,61,140.2
Saturday,62,113.375
Saturday,63,157.0
Saturday,64,186.125
Saturday,65,193.75
Saturday,66,184.42857142857142
Saturday,67,189.875
Saturday,68,194.0
Saturday,69,183.71428571428572
Saturday,70,182.625
Saturday,71,204.875
Saturday,72,195.125
Saturday,73,179.375
Saturday,74,162.28571428571428
Saturday,75,133.625
Saturday,76,125.57142857142857
Saturday,77,125.25
Saturday,78,124.57142857142857
Saturday,79,112.66666666666667
Saturday,80,116.33333333333333
Saturday,81,130.57142857142858
Saturday,82,121.57142857142857
Saturday,83,129.57142857142858
Saturday,84,126.25
Saturday,85,122.71428571428571
Saturday,86,119.0
Saturday,87,77.5
